City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Japura,ID,2024-05-16 23:47:03,-0.3167,102.35,75.07,98,100,0.69
68,Kathmandu,NP,2024-05-16 23:47:03,27.7167,85.3167,64.62,72,20,2.3
69,Victoria,HK,2024-05-16 23:42:46,22.2855,114.1577,77.38,78,72,8.99
70,Akdepe,TM,2024-05-16 23:47:04,42.0551,59.3788,60.89,62,97,12.24
71,Pabbi,PK,2024-05-16 23:47:04,34.0106,71.7989,81.28,37,89,2.57
72,Nova Vicosa,BR,2024-05-16 23:47:04,-17.8919,-39.3719,76.48,82,0,5.37
73,Bahia Blanca,AR,2024-05-16 23:47:04,-38.7196,-62.2724,48.07,88,100,5.37
74,Ancud,CL,2024-05-16 23:47:04,-41.8697,-73.8203,48.61,85,100,4.7
75,Lerwick,GB,2024-05-16 23:47:05,60.1545,-1.1494,51.8,93,5,9.91
76,Van,TR,2024-05-16 23:47:05,38.4924,43.3831,42.15,87,75,8.05
77,Urubicha,BO,2024-05-16 23:47:05,-15.3833,-62.95,71.35,72,60,3.02
78,Challans,FR,2024-05-16 23:47:05,46.8436,-1.8749,52.97,91,100,8.41
79,Honningsvag,NO,2024-05-16 23:47:05,70.9821,25.9704,38.95,75,100,0.0
80,Stornoway,GB,2024-05-16 23:47:06,58.2093,-6.3865,53.56,95,100,6.91
81,Marsa Matruh,EG,2024-05-16 23:47:06,31.3525,27.2453,73.6,46,0,5.75
82,Ribeira Grande,PT,2024-05-16 23:47:06,38.5167,-28.7,62.78,81,85,11.01
83,Cidreira,BR,2024-05-16 23:47:06,-30.1811,-50.2056,52.75,94,100,8.21
84,Barbosa Ferraz,BR,2024-05-16 23:47:06,-24.03,-52.0117,69.69,59,100,2.68
85,Yambio,SS,2024-05-16 23:47:07,4.5721,28.3955,69.04,93,55,2.17
86,Tucurui,BR,2024-05-16 23:47:07,-3.7661,-49.6725,80.04,81,82,2.73
87,Ilulissat,GL,2024-05-16 23:47:07,69.2167,-51.1,24.82,50,4,11.5
88,Ippy,CF,2024-05-16 23:47:07,6.2679,21.2247,75.52,69,17,2.44
89,La Asuncion,VE,2024-05-16 23:47:07,11.0333,-63.8628,79.34,87,74,12.97
90,Itarema,BR,2024-05-16 23:48:08,-2.9248,-39.9167,78.39,87,59,10.18
91,Sao Desiderio,BR,2024-05-16 23:48:08,-12.3633,-44.9733,71.47,39,0,4.41
92,Karatau,KZ,2024-05-16 23:48:09,43.1667,70.4667,56.3,88,47,1.66
93,Naliya,IN,2024-05-16 23:48:09,23.2667,68.8333,82.56,72,0,13.35
94,Mega,ET,2024-05-16 23:48:09,4.05,38.3,63.88,66,43,8.59
95,Ponta Do Sol,PT,2024-05-16 23:48:09,32.6667,-17.1,65.12,68,22,2.48
96,Nyagan,RU,2024-05-16 23:48:09,62.1406,65.3936,40.5,86,100,4.9
97,Tres Lagoas,BR,2024-05-16 23:48:10,-20.7511,-51.6783,75.7,42,5,1.72
98,Larvik,NO,2024-05-16 23:48:10,59.0533,10.0352,59.45,51,25,4.61
99,Abu Dhabi,AE,2024-05-16 23:47:05,24.4667,54.3667,90.95,34,0,4.61
100,Kruisfontein,ZA,2024-05-16 23:48:10,-34.0033,24.7314,61.34,69,2,16.58
101,Port Said,EG,2024-05-16 23:48:10,31.2565,32.2841,69.78,78,0,6.91
102,Derzhavinsk,KZ,2024-05-16 23:48:10,51.1,66.3167,53.04,63,82,7.47
103,Lima,PE,2024-05-16 23:44:23,-12.0432,-77.0282,64.65,77,20,11.5
104,Trofors,NO,2024-05-16 23:48:11,65.5333,13.4063,44.47,46,29,3.0
105,Novooleksiyivka,UA,2024-05-16 23:48:11,46.2269,34.6428,49.71,89,24,6.91
106,Cururupu,BR,2024-05-16 23:48:11,-1.8283,-44.8683,76.12,93,96,1.41
107,Talcahuano,CL,2024-05-16 23:48:11,-36.7167,-73.1167,51.48,82,0,4.61
108,Savannah Bight,HN,2024-05-16 23:48:11,16.45,-85.85,82.63,84,86,33.87
109,Clyde River,CA,2024-05-16 23:48:12,70.4692,-68.5914,21.43,86,0,0.0
110,Homestead,US,2024-05-16 23:48:12,25.4687,-80.4776,87.82,66,0,6.91
111,East London,ZA,2024-05-16 23:48:12,-33.0153,27.9116,65.79,47,21,13.06
112,Richards Bay,ZA,2024-05-16 23:48:12,-28.783,32.0377,67.59,72,0,7.49
113,Kralendijk,BQ,2024-05-16 23:48:12,12.15,-68.2667,84.18,79,40,14.97
114,Riohacha,CO,2024-05-16 23:48:12,11.5444,-72.9072,86.11,89,20,11.5
115,Nanortalik,GL,2024-05-16 23:48:13,60.1432,-45.2371,33.21,87,85,5.21
116,Kavaratti,IN,2024-05-16 23:48:13,10.5669,72.642,85.37,73,29,4.0
117,Bay Roberts,CA,2024-05-16 23:48:13,47.5999,-53.2648,42.93,97,99,5.99
118,Mequon,US,2024-05-16 23:48:13,43.2364,-87.9845,71.65,75,89,6.26
119,Ovalle,CL,2024-05-16 23:48:13,-30.5983,-71.2003,54.7,48,8,2.62
120,Henties Bay,NA,2024-05-16 23:48:14,-22.116,14.2845,69.78,46,0,2.64
121,Grand Gaube,MU,2024-05-16 23:48:14,-20.0064,57.6608,73.8,81,94,4.0
122,Kulhudhuffushi,MV,2024-05-16 23:48:14,6.6221,73.07,84.9,77,73,13.56
123,Tessalit,ML,2024-05-16 23:48:15,20.1986,1.0114,88.0,27,99,4.23
124,Xapuri,BR,2024-05-16 23:48:15,-10.6517,-68.5044,77.45,67,35,1.61
125,Tashla,RU,2024-05-16 23:48:15,51.7716,52.7427,49.14,84,100,3.24
126,Ajdabiya,LY,2024-05-16 23:48:15,30.7554,20.2263,87.46,16,4,15.37
127,Nalut,LY,2024-05-16 23:48:15,30.3333,10.85,83.1,31,100,18.81
128,Ambilobe,MG,2024-05-16 23:48:16,-13.2,49.05,74.01,74,100,3.56
129,Sao Joao Do Piaui,BR,2024-05-16 23:48:16,-8.3581,-42.2467,81.52,43,46,9.37
130,Dabakala,CI,2024-05-16 23:48:16,8.3667,-4.4333,76.8,94,95,4.0
131,Sao Gabriel Da Cachoeira,BR,2024-05-16 23:48:16,-0.1303,-67.0892,72.41,100,100,1.54
132,Cockburn Town,TC,2024-05-16 23:48:16,21.4612,-71.1419,80.22,82,0,8.66
133,Tucuman,AR,2024-05-16 23:48:17,-26.8241,-65.2226,54.9,74,89,3.49
134,Aracati,BR,2024-05-16 23:48:17,-4.5617,-37.7697,81.55,79,48,11.95
135,Birjand,IR,2024-05-16 23:48:17,32.8663,59.2211,70.27,46,75,4.61
136,Taoudenni,ML,2024-05-16 23:49:17,22.6783,-3.9836,90.54,27,81,6.69
137,Hakkari,TR,2024-05-16 23:49:17,37.5833,44.1667,40.78,93,40,5.75
138,Mfou,CM,2024-05-16 23:49:17,3.7159,11.6427,75.06,94,40,5.75
139,Soyo,AO,2024-05-16 23:49:18,-6.1349,12.3689,77.61,93,68,3.11
140,Knysna,ZA,2024-05-16 23:49:18,-34.0363,23.0471,62.06,81,8,7.58
141,Turukhansk,RU,2024-05-16 23:49:18,65.8167,87.9833,22.89,89,68,1.99
142,Braganca,BR,2024-05-16 23:49:18,-1.0536,-46.7656,73.36,100,100,1.48
143,Grenville,GD,2024-05-16 23:49:19,12.1167,-61.6167,82.45,83,25,13.13
144,Luebo,CD,2024-05-16 23:49:19,-5.35,21.4167,72.19,85,50,1.48
145,Bosaso,SO,2024-05-16 23:49:19,11.2842,49.1816,86.76,68,42,2.28
146,Sechura,PE,2024-05-16 23:49:19,-5.5569,-80.8222,70.86,73,68,16.17
147,Nuuk,GL,2024-05-16 23:49:20,64.1835,-51.7216,36.21,64,0,12.66
148,Sao Joao Da Barra,BR,2024-05-16 23:49:20,-21.6403,-41.0511,75.29,89,9,9.78
149,Port Blair,IN,2024-05-16 23:49:20,11.6667,92.75,82.44,89,20,2.3
150,Koungou,YT,2024-05-16 23:49:20,-12.7336,45.2042,82.11,74,20,13.8
151,Sao Filipe,CV,2024-05-16 23:49:20,14.8961,-24.4956,74.84,77,20,9.26
152,Kraslava,LV,2024-05-16 23:49:21,55.8951,27.168,54.48,82,68,5.01
153,Svetlyy,RU,2024-05-16 23:49:21,54.675,20.1347,50.36,77,3,9.64
154,Punta Gorda,US,2024-05-16 23:49:21,26.9298,-82.0454,85.98,81,15,11.99
155,Laytown,IE,2024-05-16 23:49:21,53.6819,-6.2392,60.08,91,100,18.01
156,Adrar,MR,2024-05-16 23:49:21,20.5022,-10.0711,81.64,24,0,9.1
157,Ornskoldsvik,SE,2024-05-16 23:49:21,63.2909,18.7153,41.95,87,33,4.61
158,Castro,BR,2024-05-16 23:46:16,-24.7911,-50.0119,62.13,75,98,4.34
159,San Andres,CO,2024-05-16 23:44:33,12.5847,-81.7006,86.02,79,40,13.8
160,Vuktyl,RU,2024-05-16 23:49:22,63.8567,57.3094,36.1,84,100,10.0
161,Berlevag,NO,2024-05-16 23:49:22,70.8578,29.0864,35.6,87,100,2.3
162,Mantua,IT,2024-05-16 23:49:22,45.1667,10.7833,57.34,96,50,1.01
163,Maceio,BR,2024-05-16 23:45:22,-9.6658,-35.7353,78.24,78,20,2.3
164,Tanout,NE,2024-05-16 23:49:23,14.9709,8.8879,87.4,13,3,9.26
165,Pasinler,TR,2024-05-16 23:49:23,39.9803,41.6764,36.59,76,84,4.07
166,Mendoza,AR,2024-05-16 23:49:23,-32.8908,-68.8272,49.53,50,20,3.44
167,Mitu,CO,2024-05-16 23:45:44,1.1983,-70.1733,74.28,95,97,1.54
168,Mecca,SA,2024-05-16 23:49:23,21.4267,39.8261,79.09,47,29,7.45
169,Takoradi,GH,2024-05-16 23:49:24,4.8845,-1.7554,76.46,90,100,7.49
170,Thompson,CA,2024-05-16 23:49:24,55.7435,-97.8558,51.96,71,100,12.66
171,Parry Sound,CA,2024-05-16 23:49:24,45.3501,-80.033,69.85,40,77,1.83
172,Bolshaya Dzhalga,RU,2024-05-16 23:49:24,45.9695,42.6966,46.11,76,13,4.43
173,San Rafael,AR,2024-05-16 23:49:25,-34.6177,-68.3301,50.7,40,0,8.05
174,Am Timan,TD,2024-05-16 23:49:25,11.0297,20.2827,86.68,14,2,6.42
175,Jumla,NP,2024-05-16 23:49:25,29.2747,82.1838,49.5,53,12,5.3
176,Kyabe,TD,2024-05-16 23:49:25,9.4515,18.9449,87.69,29,0,2.28
177,Gazli,UZ,2024-05-16 23:49:25,40.1333,63.45,71.4,57,37,9.86
178,Bauru,BR,2024-05-16 23:49:25,-22.3147,-49.0606,85.14,45,0,1.14
179,Ostrovnoy,RU,2024-05-16 23:49:26,68.0531,39.5131,33.82,91,100,9.15
180,Shahrud,IR,2024-05-16 23:49:26,36.4182,54.9763,59.65,62,42,6.02
181,Saint-Augustin,CA,2024-05-16 23:49:26,51.226,-58.6502,48.79,72,100,9.19
182,Kajaani,FI,2024-05-16 23:50:26,64.2273,27.7285,37.45,81,0,3.44
183,Tornio,FI,2024-05-16 23:50:27,65.8481,24.1466,37.42,87,62,5.03
184,Presidencia Roque Saenz Pena,AR,2024-05-16 23:50:27,-26.7852,-60.4388,55.99,77,100,2.66
185,Vilhena,BR,2024-05-16 23:49:11,-12.7406,-60.1458,75.42,83,0,4.61
186,Penalva,BR,2024-05-16 23:50:27,-3.2942,-45.1736,76.55,94,82,3.44
187,Goure,NE,2024-05-16 23:50:27,13.9835,10.2704,87.33,13,27,9.22
188,Carnarvon,AU,2024-05-16 23:50:28,-24.8667,113.6333,73.65,58,0,13.94
189,Longyearbyen,SJ,2024-05-16 23:50:28,78.2186,15.6401,28.24,54,20,9.22
190,Luderitz,NA,2024-05-16 23:50:28,-26.6481,15.1594,70.63,45,0,6.08
191,Kurchum,KZ,2024-05-16 23:50:29,48.5722,83.6542,52.45,78,99,8.01
192,Goderich,CA,2024-05-16 23:50:29,43.7501,-81.7165,70.12,64,100,3.44
193,Plouzane,FR,2024-05-16 23:50:29,48.3833,-4.6167,53.78,94,0,4.61
194,Atasu,KZ,2024-05-16 23:50:29,48.6814,71.6433,53.67,70,43,3.36
195,Castrillon,ES,2024-05-16 23:50:29,43.3979,-6.7922,46.22,100,82,3.94
196,Novo Aripuana,BR,2024-05-16 23:50:30,-5.1206,-60.3797,76.19,95,84,2.28
197,Fort Abbas,PK,2024-05-16 23:50:30,29.1925,72.8536,92.17,14,10,10.27
198,Ramgarh,IN,2024-05-16 23:50:30,23.6333,85.5167,84.25,41,100,11.54
199,Puerto Del Rosario,ES,2024-05-16 23:50:30,28.5004,-13.8627,67.75,64,100,17.27
200,Lillesand,NO,2024-05-16 23:50:31,58.2488,8.3778,50.04,76,10,9.22
201,Yanam,IN,2024-05-16 23:50:31,16.7333,82.2167,74.98,91,100,0.76
202,Poli,TZ,2024-05-16 23:50:31,-3.3333,36.8,62.87,94,40,9.22
203,Eyl,SO,2024-05-16 23:50:31,7.9803,49.8164,83.03,85,54,14.14
204,Butembo,CD,2024-05-16 23:50:32,0.15,29.2833,61.16,79,19,3.6
205,Baghdad,IQ,2024-05-16 23:50:32,33.3406,44.4009,78.71,34,0,12.66
